Unique_Author,File_changed,Insertions,Deletions,Issue
Chris Oelmueller,1,21,21,0
Vincent Vanhoucke,118,7085,3552,0
Mark Aaron Shirley,1,2,2,0
Stuart Berg,2,2,2,0
Kevin Slagle,1,5,7,0
Lyndon White,1,0,0,0
postBG,1,0,0,0
joshkyh,1,0,0,0
Jonas,1,0,0,0
Daniel Grazian,5,421,25,0
Andrew Erlichson,1,0,0,0
Rasmi,1,0,0,0
David Röthlisberger,1,0,0,0
Sebastian Weiss,5,485,34,0
Artsiom Chapialiou,6,86,51,1
jinghua2,12,440,154,0
EdwardDixon,1,3,6,0
Marcel Puyat,1,0,0,0
Amit Kushwaha,9,19,63,0
Kenichi Ueno,1,0,0,0
Lin Min,8,294,0,0
liu.guangcong,3,6,17,0
niranjan.hasabnis,2,10,10,0
ben,1,2,2,0
Alexey Petrenko,6,72,15,0
yanivbl6,11,378,294,0
Anton Daitche,4,37,2,0
MtDersvan,1,0,0,0
Louie Helm,9,840,7,0
Fritz Obermeyer,5,5,3,0
Shivam Kotwalia,1,0,0,0
Tiago Freitas Pereira,5,190,0,0
Bill Piel,9,158,0,0
Bart Kiers,1,2,0,0
Raphael,1,0,0,0
meijun,6,20,20,0
Dhruv,3,2,0,0
Hee Jung Ryu,7,215,23,0
Hyungsuk Yoon,1,0,0,0
vfdev,1,2,2,0
Ti Zhou,2,3,3,0
Nouce,1,12,8,0
superzerg,1,0,0,0
wangqr,4,81,70,0
lucasmoura,3,35,38,0
Weber Xie,2,4,2,0
Yue Zhang,1,0,0,0
youkaichao,1,0,0,0
Sergey Kolesnikov,3,202,7,0
Brian Williammee,8,283,2,0
Rasmus Larsen,6,5,229,0
Lakshay Garg,104,1835,70,0
raymondxyang,12,126,41,0
Ruben Vereecken,2,2,2,0
Ziming Dong,51,1930,435,0
Xiang Gao,46,2051,257,0
Anish Shah,15,296,35,0
luke iwanski,73,893,343,0
Vaibhav Sood,1,26,0,0
Renze Yu,1,0,0,0
Jun MEI,2,14,5,0
HectorSVC,6,68,25,0
Darren Garvey,20,494,34,0
asdf2014,1,0,0,0
Oliver Hennigh,3,326,0,0
Andrew Stepanov,1,0,0,0
Francois Xavier,1,0,0,0
jeremy rutman,1,3,3,0
Yufeng,3,6,4,0
Tomoaki Oiki,1,0,0,0
James Pruegsanusak,2,6,19,0
黄璞,2,0,0,0
Aditya Dhulipala,1,0,0,0
Sumit Gouthaman,2,109,29,0
Vahid Kazemi,4,5,19,0
David Kristoffersson,1,0,0,0
joetoth,1,0,0,0
Abdullah Alrasheed,1,0,0,0
Kongsea,8,378,12,0
ebrevdo,8,1114,5,0
Adam Salvail,1,2,2,0
Jun Luan,1,2,2,0
AngryPowman,1,0,0,0
DimanNe,3,20,2,0
Sebastian Raschka,2,4,0,0
Androbin,56,537,222,0
Will Frey,1,0,0,0
osdamv,6,512,255,0
Roffel,1,0,0,0
lewuathe,2,0,0,0
Batchu Venkat Vishal,1,2,0,0
Yixing Lao,1,2,0,0
Manjunath Kudlur,4201,434466,12744,0
John Lawson,7,42,26,0
Guo Yejun (郭叶军),3,20,0,0
Catalin Voss,1,0,0,0
Lef Ioannidis,1,2,2,0
Arvinds-ds,1,0,0,0
Shuolongbj,1,0,0,0
vhasanov,2,0,31,0
zhongzyd,9,41,43,0
TJ Rana,5,26,26,0
Yann Henon,2,6,4,0
Chris Song,37,43,43,0
Louis Tiao,1,0,0,0
Bruno Rosa,1,10,0,0
yorkie,1,2,0,0
Julian Viereck,2,5,2,0
Michaël Defferrard,3,11,3,0
Melody Guan,1,3,0,0
myPrecious,12,141,7,0
Pankaj Gupta,1,0,0,0
Wei Wu,2,4,2,0
Chase Roberts,2,15,0,0
davidpham87,1,2,2,0
Alexey Surkov,200,10072,2074,0
Kevin van der Burgt,1,0,0,0
Baptiste Arnaud,1,0,0,0
Tiago Morais Morgado,1,0,0,0
Liangliang He,27,266,110,1
Rockford Wei,1,0,0,0
Jayeol Chun,1,0,0,0
Mike Brodie,1,0,0,0
Tapan Prakash,1,4,3,0
Alex Lattas,11,91,2,0
J Alammar,4,7,7,0
Mosnoi Ion,2,60,2,0
Ben Mabey,3,10,3,0
raoqiyu,2,4,3,0
Stephen Fox,1,4,4,0
Siim Põder,1,11,10,0
Boyuan Deng,1,0,0,0
Maxwell Paul Brickner,2,0,0,0
superryanguo,2,2,31,0
Rishabh Patel,1,0,0,0
Dumitru Erhan,4,379,25,0
Mark Neumann,3,28,2,0
sj6077,4,31,18,0
mdymczyk,2,6,0,0
ribx,1,0,0,0
Hauke Brammer,1,0,0,0
Pierre,1,2,2,0
Chirag Bhatia,2,7,7,0
Sahil Dua,1,2,2,0
Adriano Carmezim,14,81,26,0
Kaarthik Sivashanmugam,1,0,2,0
windead,2,17,5,0
Andrew Hundt,7,68,24,0
Alexandr Baranezky,2,10,6,0
Alex Baranezky,1,38,5,0
Yi Wang,1,0,0,0
Gyu-Ho Lee,1,0,0,0
Richard S. Imaoka,2,2,2,0
Humanity123,1,10,6,0
Jing Jun Yin,1,3,0,0
Zongheng Yang,339,11354,2344,1
Daniel Cardenas,1,3,2,0
preciousdp11,5,7,7,0
magixsno,1,0,0,0
Spotlight0xff,1,4,6,0
Jianfei Wang,3,15,9,0
ksellesk,1,0,0,0
Yan (Asta) Li,2,47,0,0
orome,1,3,2,0
Wei Ho,166,6674,2033,0
Joan Puigcerver,1,6,0,1
Beomsu Kim,2,12,2,0
Michał Jastrzębski,1,0,0,0
Earthson Lu,1,4,2,0
Christos Nikolaou,1,4,4,0
Jon Malmaud,3,14,0,0
Drew Hintz,1,0,0,0
cxx,1,3,3,0
Yuan Yu,346,9135,3669,1
My name is,4,34,14,0
ddurham2,2,14,5,0
Yi-Lin Juang,3,6,4,0
Croath Liu,2,5,0,0
Shitian Ni,4,5,2,0
Ryan Kung,1,7,11,0
Maciek Chociej,8,21,21,0
Benedikt Linse,2,4,4,0
sgt101,1,0,0,0
Fabian Winnen,1,0,0,0
b1rd,1,3,6,0
Nelson Liu,1,2,2,0
Czxck001,3,117,67,0
David Brailovsky,2,2,2,0
zhengjiajin,37,426,371,0
ethiraj,1,0,0,0
Steffen Eberbach,1,3,3,0
mouradmourafiq,2,0,0,0
SOLARIS,1,0,0,0
Ali Siddiqui,50,1445,617,0
Andreas Solleder,172,225,225,0
4F2E4A2E,3,0,0,0
peeyush18,1,0,0,0
ispirmustafa,1,2,0,0
Kevin Carbone,1,18,0,0
Neeraj Kashyap,1,0,0,0
Adrià Arrufat,2,54,0,0
Robert Walecki,1,5,0,0
Johannes Mayer,3,0,0,0
Jonathan Alvarez-Gutierrez,1,0,0,0
Corey Wharton,10,487,65,0
krivard,1,0,0,0
Mathew Wicks,9,31,10,0
Ikaro Silva,1,2,2,0
Leandro Gracia Gil,12,28,16,0
Raingo,16,129,113,0
Mark Wong,10,25,13,0
Scott Sievert,1,5,2,0
Ido Shamay,1,5,0,0
Piyush Chaudhary,1,0,0,0
Junwei Pan,5,10,10,0
Elliot Saba,2,4,24,0
Xiaolin Lin,1,3,0,0
Mortada Mehyar,3,12,12,0
Sanders Kleinfeld,15,1164,132,0
Chris,1,67,0,0
Zader Zheng,2,2,24,0
Jonghoon Jin,1,11,13,0
Kwotsin,1,4,4,0
Oleksii Kuchaiev,4,239,5,0
wuhaixutab,1,13,3,0
Shane,1,3,0,0
Aaron Schumacher,4,2,2,0
Alex Egg,1,0,0,0
Sam Abrahams,85,1586,355,1
weipingpku,2,0,0,0
Arno Leist,2,4,2,0
Dalei Li,1,2,2,0
Cassandra Xia,50,1823,382,0
Julian Villella,1,4,7,0
Jun Kim,2,0,6,0
Michael Hofmann,1,0,0,0
Falcon Dai,2,21,12,0
Neven Miculinic,1,7,87,0
Jamie Cooke,1,44,0,0
Sebastian Schlecht,2,63,0,0
Nghia Tran,2,6,9,0
Li Chen,5,26,2,0
Zakaria Haque,81,4276,1502,0
Miguel Flores Ruiz de Eguino,1,2,2,0
Darío Hereñú,1,0,0,0
GBLin5566,2,14,11,0
David Eng,1,0,0,0
Ruizhe Zhao (Vincent),2,3,3,0
Yi Liu,5,9,0,0
admcrae,11,171,2,0
Vu Pham,31,2034,817,0
Karan Desai,7,459,20,0
Alexandre Caulier,1,3,3,0
David Y. Zhang,1,5,5,0
Charles Nicholson,354,8809,6383,0
Nikhil Thorat,303,17684,3223,0
wydwww,1,21,21,0
ZhipengShen,1,0,0,0
Daniel Mané,217,18627,5252,3
Yuming Wang,3,15,0,0
Harun Gunaydin,1,2,0,0
Dominic Rossi,2,5,6,0
Fei Gao,1,2,0,0
Jun Shi,28,2775,8,0
poohzrn,1,0,0,0
t13m,4,84,7,0
Richard Davies,1,2,2,0
Umang Mehta,1,2,0,0
Thomas H. P. Andersen,1,2,2,0
td2014,1,14,7,0
Namnamseo,1,15,13,0
Egil Martinsson,1,25,25,0
Evan Klitzke,2,0,0,0
Luiz Henrique Soares,6,44,44,0
zjj2wry,7,25,18,0
wannabesrevenge,2,2,2,0
cfperez,1,3,3,0
FloopCZ,1,0,0,0
Zhaojun Zhang,2,5,17,0
Vit Stepanovs,17,639,158,0
Vincent Zhao,1,2,2,0
Eduardo Pinho,1,10,0,0
agramesh1,11,57,57,0
Matthew Rahtz,1,17,0,0
Alan Mosca,2,42,40,0
Arron Cao,1,0,0,0
MikeTam1021,1,3,27,0
KhabarlakKonstantin,1,0,0,0
John Maidens,1,0,0,0
Abhi Agg,13,1123,303,0
NORTHAMERICA\vistepan,65,1282,876,0
Damien Martin-Guillerez,22,110,55,0
Anand Venkat,4,186,46,0
Alexander Heinecke,16,265,78,0
Oyesh Mann Singh,1,0,0,0
jubjamie,4,11,5,0
Eric Bigelow,1,2,2,0
Shubhankar Deshpande,1,0,0,0
Toby Petty,1,0,0,0
Alexander Matyasko,23,1980,279,0
jyegerlehner,1,10,26,0
Immexxx,1,7,0,0
Dmytro Kyrychuk,1,0,0,0
James Mishra,1,0,0,0
Fung LAM,1,0,0,0
akimitsu seo,1,3,3,0
Fabrizio Milo,56,678,90,0
Sean O'Keefe,1,2,2,0
Sahit Chintalapudi,1,2,2,0
Quim Llimona,1,0,0,0
Gu Wang,2,0,0,0
Yoshihiro Sugi,3,0,0,0
Nate Harada,1,2,2,0
John Bates,15,641,772,0
Deepak Subburam,1,5,0,0
Anmol Sharma,1,0,0,0
guschmue,84,1227,154,1
critiqjo,1,10,5,0
Karel van de Plassche,1,4,2,0
Mycosynth,1,0,4,0
Panmari,4,34,17,0
Valentin Iovene,3,21,16,0
Nick Lyu,1,2,2,0
Arie,2,14,14,0
Davy Song,2,6,3,0
SunYeop Lee,6,31,14,0
Patrick,1,0,0,0
Sean Papay,3,35,17,0
A. Besir Kurtulmus,1,0,0,0
Joey Meyer,6,0,30,0
Aravind,1,3,3,0
Mark Szepieniec,1,0,0,0
John C F,1,0,0,0
Conchylicultor,2,6,8,0
Saisai Shao,6,14,14,0
Eddie,1,3,3,0
Mandeep Singh,2,10,18,1
Sriram Narayanamoorthy,1,0,0,0
Nicholas Connor,1,0,0,0
Hannah Provenza,3,7,7,0
Memo Akten,2,11,0,0
Gefu Tang,2,25,2,0
Niraj Patel,3,4,2,0
Marek Kolodziej,14,242,14,0
Tim Anglade,1,5,0,0
Viktor Malyi,1,3,0,0
Alec-DeSouza,1,0,0,0
Nathan Silberman,110,9370,1102,1
Micael Carvalho,7,7,15,0
sanosay,1,0,0,0
Yi Hsiao,1,2,3,0
Ben Visser,1,8,9,0
hsiao yi,1,2,0,0
nghiattran,1,7,3,0
Dimitar Pavlov,1,0,0,0
Erfan Noury,1,0,2,0
Mark McDonald,11,69,33,0
Ivan Bogatyy,4,14,13,1
Jojy G Varghese,13,42,28,0
Jason Morton,1,0,0,0
Jojy George Varghese,25,94,68,0
Zifei Tong,2,2,2,0
Allen Guo,2,12,10,0
Jason Gavris,4,68,31,0
Ryo ASAKURA,1,7,14,0
MircoT,2,5,0,0
Jiaming Liu,3,4,0,0
Vlad Firoiu,2,27,3,0
Stefano Probst,1,0,0,0
rasbt,6,12,5,0
Igor Chorążewicz,1,2,2,0
wangg12,5,9,9,0
Pavel Bulanov,3,9,2,0
Vijay D'Silva,4,146,0,0
Christopher Berner,1,4,2,0
Calpa Liu,1,0,0,0
jiqiu,1,2,2,0
Vamsi Sripathi,11,152,73,0
Clark Zinzow,1,7,7,0
Dmitry Persiyanov,2,39,22,0
Jack Rae,39,971,466,0
Xiaoyu Tao,1,0,0,0
Franck Dernoncourt,2,8,8,0
teldridge11,2,2,5,0
Tomas Reimers,1,2,2,0
tbonza,1,0,0,1
Dan Ellis,1,0,0,0
guilherme,1,2,2,0
Michael Gharbi,1,0,0,0
Jan Prach,129,659,406,1
Shaurya Sharma,2,26,0,0
alanwang93,3,3,0,0
Ankesh Anand,1,4,2,0
Reid Pryzant,1,0,0,0
Jeremy Sawruk,1,2,0,0
Ivan Smirnov,1,2,2,0
Adal Chiriliuc,1,7,0,0
Javi Ribera,3,6,8,0
selay01,1,0,0,0
LI Yi,17,412,35,0
Jihun Choi,10,358,61,0
Huazuo Gao,28,945,524,1
Rahul Kavi,1,0,0,0
Prayag Verma,1,2,2,0
David Truong,1,3,0,0
will,1,5,0,0
Kankroc,1,0,0,0
lurker,1,2,0,0
Rüdiger Busche,1,0,0,0
Anton Loss,2,4,2,0
Raven Iqqe,2,0,0,0
bakunyo,1,0,0,0
Raphael Gontijo Lopes,9,24,14,0
Kristina Chodorow,6,59,46,0
Joan Thibault,1,2,2,0
Julian Berman,1,0,0,0
Russell Kaplan,1,6,0,0
Evgeny Mazovetskiy,1,0,0,0
Chad Whipkey,2,0,0,0
Brady Zhou,1,0,0,0
Lezcano,1,2,2,0
mahmoud-abuzaina,14,1220,3,0
Nikolaas Steenbergen,9,297,65,0
Rizwan Asif,1,26,17,0
mlucool,1,9,7,0
LUO Yun,1,27,11,0
Jongwook Choi,3,15,3,0
hartb,1,9,8,0
Eron Wright,8,789,21,0
Muammar ibn Faisal,2,3,3,0
Martial Hue,1,0,0,0
Richard Shin,1,4,4,0
akash,1,0,0,0
Ashutosh Das,1,2,2,0
Alexander Mossin,1,77,62,0
Chih Cheng Liang,1,0,0,0
Philip Pries Henningsen,2,36,10,0
Fisher Coder,1,2,2,0
Hanna Revinskaya,7,9,15,0
Medhat Omr,1,3,3,0
Johannes Haux,1,0,0,0
Gagan Goel,1,5,4,0
Fabrizio (Misto) Milo,41,1080,53,0
Zafar Takhirov,43,432,11,0
polonez,1,11,11,0
Illia Polosukhin,1691,28230,11745,3
Kyle Bostelmann,1,0,0,0
elirex,1,0,0,0
KOUASSI Konan Jean-Claude,1,9,0,0
Alexander Rosenberg Johansen,17,466,74,0
Leo Mao,1,0,0,0
Andy Chong Chin Shin,1,0,8,0
Norman Heckscher,1,0,0,0
Erik Aigner,3,32,0,0
taknevski,10,555,59,0
Hvass-Labs,3,255,0,0
Keiji Kanazawa,2,101,0,0
Yoni Ben-Meshulam,4,15,3,0
nagachika,3,4,4,0
Inflation,1,0,2,0
David Z. Chen,115,2322,1707,0
Michael Basilyan,1,0,0,0
yaroslavvb@gmail.com,1,3,0,0
Pengfei Ni,1,6,7,0
Morten Just,1,0,0,0
Daniel N. Lang,1,2,2,0
Steffen Müller,3,17,0,0
Wangda Tan,2,40,18,0
Yota Toyama,3,3,2,0
Alexander Novikov,1,9,12,0
Jacob Israel,1,0,0,0
John Pope,1,4,5,0
Sam Putnam,1,3,0,0
Finbarr Timbers,2,38,0,0
SeongAhJo,1,0,0,0
Jin Kim,1,5,6,0
Xingdong Zuo,9,38,30,1
TheUSER123,1,0,0,0
Wenjian Huang,38,113,71,0
Comic Chang,7,385,4,0
Rudolf Rosa,1,2,2,0
danielgordon10,1,0,0,0
Nishant Shukla,1,0,0,0
Adam Michael,1,2,0,0
Aaron Hu,3,4,0,0
Dmitri Lapin,2,48,0,0
Jingtian Peng,33,510,229,0
Carmezim,2,30,4,1
Kye Bostelmann,1,0,0,0
Chad Kennedy,4,8,8,0
chadkennedyonline,2,8,12,0
cais,7,44,58,0
Dan Mané,722,28766,19904,0
Ronny,1,4,4,1
b0noI,6,68,35,0
Dan,3,25,19,0
Issac,1,14,5,0
Evan Cofer,1,0,0,0
Darcy Liu,3,2,0,0
newge,5,5,5,0
Mihir Patel,1,0,0,0
Ian,1,2,2,0
jangsoo park,1,3,0,0
Ling Zhang,1,2,2,0
Luheng He,2,4,4,0
Nick Butlin,1,0,0,0
Thiébaud Weksteen,1,0,0,0
RustingSword,1,0,0,0
skavulya,2,8,0,0
Przemyslaw Tredak,2,27,0,0
Connor Braa,1,2,2,0
A. Rosenberg Johansen,21,635,114,0
Abhishek Aggarwal,1,2,2,0
Shi Jiaxin,2,15,4,0
Garrett Smith,1,2,2,0
Daniel W Mane,4,8,2,0
AfirSraftGarrier,1,2,2,0
Holst Henrik,4,4,4,0
tiriplicamihai,1,0,0,0
Hao WEI,2,2,0,1
BoyuanJiang,2,11,3,0
Vladislav Gubarev,1,0,5,0
Kamil Hryniewicz,1,0,2,0
zhongyuk,1,8,2,0
Gökçen Eraslan,1,0,0,0
luke,59,673,92,0
DjangoPeng,11,509,467,0
Jithin Odattu,1,4,4,0
Javier Dehesa,1,2,0,0
Ken Shirriff,6,8,8,0
Kai Wolf,8,19,16,0
Terry Tang,4,7,80,0
xmbrst,4,0,10,0
Frank Li,19,805,191,0
Uwe Schmidt,1,7,0,0
Adriano,2,2,2,0
Leonard Lee,2,0,0,0
Ghedeon,1,0,0,0
Xuesong Yang,1,0,0,0
hoangmit,2,12,0,1
Karen Brems,2,0,0,0
Fabrício Ceschin,1,4,0,0
郭同jet · 耐心,5,115,22,0
a7744hsc,1,4,0,0
qitaishui,1,2,0,0
Moustafa Alzantot,4,54,0,0
drag0,3,5,4,0
Burness Duan,1,4,2,1
Aki Sukegawa,4,100,85,0
Kamran Amini,2,24,0,0
Martin,2,4,4,0
Ondřej Filip,3,13,2,0
Karl Lattimer,1,8,0,0
Haroen Viaene,1,0,0,0
zhengxq,10,44,687,1
raix852,9,121,165,0
MrQianjinsi,2,2,2,0
SriramRamesh,1,0,0,0
c0g,3,173,11,0
Di Zeng,5,36,26,0
DI ZENG,1,2,2,0
youyou3,1,2,0,0
Ondrej Skopek,1,0,0,0
David Jones,1,0,0,0
Benjamin Mularczyk,1,2,2,0
tyfkda,16,104,69,0
Victor Villas,2,24,20,0
fp,1,2,0,0
tvn,5,327,16,0
Anand Chakravarty,6,45,16,0
Hannes,1,2,2,0
Jianmin Chen,95,5489,218,0
Quarazy,2,2,2,0
thuyenvn,12,97,65,0
wujingyue,1,0,0,0
nschuc,1,0,3,0
Nikhil Mishra,19,538,82,0
Ben guidarelli,1,3,2,0
Haosdent Huang,17,47,42,0
beopst,1,0,0,0
Lie He,2,3,3,0
haosdent,43,240,273,0
Olivia,3,16,0,0
Johan Mathe,1,0,0,0
caisq,24,128,65,0
Joan Pastor,1,76,61,0
kborer,8,8,8,0
Laurent Mazare,3,9,0,0
Nick Meehan,1,0,0,0
amcrae,21,152,29,0
Pablo Moyano,1,0,0,0
Andre Simpelo,1,4,4,0
Balachander Ramachandran,3,101,60,0
Henrik Holst,1,12,4,0
Neil Han,1,0,0,0
harold cooper,3,15,0,0
Amlan Kar,1,7,7,0
Justus Schwabedal,2,4,4,0
Tushar Soni,1,0,0,0
OscarDPan,1,0,0,0
Ivan Ukhov,3,5,5,0
Rehs Philipp Helo,1,0,0,0
Larissa Laich,1,2,2,0
Alex Kendall,1,6,2,0
Arnaud Lenglet,1,6,0,0
chanis,3,13,10,0
Eric Platon,1,0,0,0
Danijar Hafner,5,31,21,0
Gaetan Semet,3,3585,3258,0
Daeyun Shin,4,287,2,0
ironhead,2,28,0,0
郑泽宇,1,0,0,0
Zack Polizzi,1,5,0,0
Andrew Thomas,1,0,0,0
Kirill Bobyrev,1,89,62,0
Malith Yapa,1,0,0,0
Gustav Larsson,5,37,5,0
Matthias Winkelmann,2,2,2,0
Erik Erwitt,2,10,10,0
Igor Macedo Quintanilha,4,65,5,0
Daniel Julius Lasiman,1,9,3,0
Steve,1,0,0,0
Ajay Rao,1,0,0,0
Yunfeng Wang,3,0,0,0
YenChenLin,1,0,0,0
Chenyang Liu,1,0,0,0
Shinichiro Hamaji,1,0,0,0
Fangwei Li,4,43,12,0
Josh Bleecher Snyder,1,2,2,0
Appleholic,2,0,0,0
Ofir Press,1,0,2,0
Robin Nabel,49,2067,185,0
Martin Englund,3,2,0,0
Denis Gorbachev,1,0,0,0
jpangburn,1,3,3,0
Renato Utsch,157,3005,1960,0
Park Jiin,1,3,3,0
Mrinal Kalakrishnan,3,0,14,0
Sahil Sharma,1,13,6,0
CISSP® Bryon Gloden,2,3,0,0
Yuncheng Li,1,0,0,0
afshinrahimi,1,0,0,0
Jules Gagnon-Marchand,1,2,2,0
Daniel Waterworth,1,2,2,0
Ritwik Gupta,1,2,2,0
AidanGG,7,81,24,0
Maniteja Nandana,2,70,0,0
Georg Nebehay,1,3,0,0
Brandon Amos,3,3,3,0
cwhipkey,1,0,0,0
HW-ZZ,2,18,0,0
ichuang,2,2,2,0
Ben Dilday,4,56,8,0
Sangheum,2,42,2,0
Igor Babuschkin,179,3878,807,0
Egor-Krivov,2,34,7,0
Simon DENEL,13,21,21,0
Jennifer Guo,1,3,0,0
Wei-Ting Kuo,2,17,0,0
Pieter de Rijk,2,7,2,0
Andrew Stromme,1,0,0,0
Tijmen Tieleman,3,11,11,0
Bastiaan Quast,1,0,0,0
Daniel Castro Chin,2,0,0,0
tijmentieleman,2,0,6,0
Nathan Howell,29,107,62,0
Longqi Yang,2,0,0,0
Elia Palme,1,0,0,0
suiyuan2009,2,20,7,0
Josh Levenberg,1597,24901,7146,0
Tiago Jorge,1,0,0,0
Adam Crume,2,5,0,0
Mu-ik Jeon,4,8,6,0
Bofu Chen,1,16,8,0
mecab,1,3,3,0
Satoshi Kataoka,1,0,0,0
Pēteris Paikens,1,0,0,0
Iver Jordal,1,4,0,0
Wang Yang,4,10,10,0
Glen Baker,6,0,12,0
yifeif,1,22,0,0
ssyrain,1,0,0,0
John Allen,2,5,5,0
Thomas Oldervoll,1,2,2,0
Siddharth Agrawal,50,910,486,0
Johann Petrak,1,15,0,0
Haebin Shin,1,2,0,0
Thomas Lee,1,0,0,0
Ted Fujimoto,1,0,0,0
SergejsRk,6,110,69,0
James Fysh,1,0,0,0
Abid K,1,0,0,0
satok16,1,16,3,0
Brian Diesel,1,0,0,0
Nico Galoppo,1,2,0,0
sono-bfio,1,0,0,0
Rohit Girdhar,1,2,0,0
Sergey Kishchenko,1,2,2,0
Eric Nielsen,12,0,1354,0
maxmelnick,3,107,27,0
chemelnucfin,4,218,14,0
Marco Marchesi,1,2,2,0
Henry Saputra,2,15,0,0
dauba-dauba,3,11,2,0
Gideon Dresdner,1,27,35,0
Dmitry Savintsev,1,0,0,0
Justin Francis,1,2,2,0
Huarong,1,0,0,0
tobe,1,2,2,0
heinzbeinz,1,20,20,0
Chris Lesniewski,2,8,8,0
Jan Wilken Dörrie,3,16,6,0
Shota,4,4,4,0
Nishant Agrawal,1,0,0,0
Emmanuel T Odeke,1,3,2,0
Jonathan Raiman,1,0,0,0
ysuematsu,1,0,0,0
shenhanc78,1,56,2,0
dcastro9,2,0,0,0
Austin Marshall,1,0,0,0
Gavin Sherry,6,4,7,0
Bob Adolf,1,0,0,0
Mostafa Gazar,1,0,0,0
lilac,10,279,4,0
Petr Janda,1,0,0,0
Robin-des-Bois,1,0,0,0
Marc Khoury,1,0,0,0
Daniel Rodriguez,1,22,3,0
mikowals,1,19,10,0
Thijs Vogels,2,2,2,0
Ernest Grzybowski,2,57,6,0
baoblackcoal,2,79,0,0
Andrew Royer,1,0,0,1
Gregory King,3,9,4,1
Johnny Lim,49,59,59,0
Charles-Emmanuel,1,9,9,0
Isaac Yang,1,4,4,0
Undo1,1,0,0,1
Dylan Paiton,2,86,94,0
Jesper Steen Møller,1,0,0,0
Orion Reblitz-Richardson,1,0,0,0
Robert Rose,1,0,8,0
Waleed,1,4,4,0
Snake Charmer,3,6,0,0
Yeison Rodriguez,1,0,0,0
Aidan Dang,2,5,5,0
Justin Harris,1,2,0,0
Maxim Grechkin,2,11,6,0
Felix Maximilian Möller,1,3,3,0
Robert DiPietro,3,103,6,0
Sung Kim,7,35,116,0
Kristina,6,50,17,0
Akihiko ITOH,1,2,2,0
Kevin Robinson,2,0,0,0
Clement Courbet,1,5,5,0
Łukasz Bieniasz-Krzywiec,2,4,4,0
Victor Melo,4,15,4,0
Mario Cho,1,0,0,0
Arbit Chen,1,0,0,0
Zohar Jackson,2,26,0,0
Mostafa Rahmani,1,3,2,0
hunkim,3,21,7,0
Stephen Roller,1,4,0,0
Michael Heilman,3,17,10,0
Paul Tucker,1,17,19,0
Aziz Alto,1,0,0,0
ninotoshi,4,4,2,0
Ville Kallioniemi,19,554,139,0
Lucas Moura,4,216,2,0
Kannappan Sirchabesan,1,0,0,0
ry,11,131,68,0
Fabien Benureau,1,0,0,0
Vladislav,1,42,46,0
SeongJae Park,13,21,111,0
Dan Aloni,2,2,2,0
ross,1,0,3,0
Fred Bertsch,13,80,55,0
kchen92,2,6,6,0
e-lin,3,7,6,0
Jeongkyu Shin,5,8,8,0
Kai Curtis,1,0,0,0
Shan Carter,1,0,0,0
lahwran,1,0,0,0
fredbertsch,10,551,4,0
Jonas Meinertz Hansen,14,39,28,0
Bas Veeling,4,19,23,0
Alexander G. de G. Matthews,6,249,5,0
David Dao,1,0,0,0
Cheng-Lung Sung,10,48,6,0
Awni Hannun,2,16,0,0
Rob Culliton,1,0,3,0
amchercashin,7,16,16,0
Yuwen Yan,2,12,7,0
ExplodingCabbage,1,3,3,0
gaohuazuo,2,35,3,0
Olav Nymoen,2,17,16,0
Daniel Smilkov,1,2,2,0
Dongjoon Hyun,216,357,317,0
Kanit Wongsuphasawat,1,9,0,0
Andy Kitchen,1,0,0,0
Jeff Hodges,1,0,0,0
znah,4,27,0,0
lekaha,1,4,0,0
Pedro Lopes,2,3,3,0
Alexander Mordvintsev,5,1380,0,0
David Kretch,2,2,2,0
ronrest,2,8,8,0
Alan Wu,18,399,29,0
panmari,30,670,207,0
Jack Zhang,1,3,5,0
Iblis Lin,10,12,10,0
Sarath Shekkizhar,1,6,6,0
papelita1234,1,0,0,0
Dustin Dorroh,1,0,0,0
Cameron Chen,3,105,0,0
Syed Ahmed,1,0,0,0
BanditCat,1,0,0,0
Kenneth Mitchner,1,0,0,0
Daniel Golden,2,22,21,0
Vlad Zagorodniy,2,8,6,0
Lucas Adams,2,27,16,0
e3,8,11,11,0
Yuya Kusakabe,2,0,0,0
timsl,1,0,0,0
Aggelos Avgerinos,1,0,0,0
Pranav Sailesh Mani,1,0,2,0
Isaac Hodes,1,0,0,0
Michael Peteuil,1,0,0,0
J Yegerlehner,1,0,0,0
Konrad Magnusson,1,0,0,0
Dan Van Boxel,1,96,0,0
Ali Elqursh,4,26,10,0
urimend,1,2,2,0
liyongsea,2,51,0,0
Jarek Wilkiewicz,2,16,5,0
Nathan Daly,1,2,2,0
Scott Graham,1,0,0,0
Vesnica,2,0,0,0
Wladimir Schmidt,2,2,0,0
cg,18,34,17,0
Singlet,1,0,0,0
Isaac Turner,2,4,4,0
Kenta Yonekura,1,3,3,0
rizzomichaelg,1,0,0,0
Frank Chu,13,457,98,0
Povilas Liubauskas,1,0,0,0
Mandar,1,12,14,0
Moussa Taifi,1,2,2,0
Lukas Krecan,1,5,2,0
Chen Yu,1,0,0,0
Zero Chen,9,10,3,0
Takeshi Hagikura,1,85,0,0
Konstantin Lopuhin,1,2,2,0
Taehoon Kim,1,0,0,0
Christian Jauvin,3,6,6,0
jmtatsch,1,4,0,0
